# ra,dec,radius
181.533993206,56.4464970079,2.0
180.038386495,56.4383294344,2.0
145.363301589,30.068638323,2.0
182.029985903,56.4601296126,2.0
180.727314421,56.4618437895,2.0
180.558291068,56.462619191,2.0
145.549443782,30.0828146349,2.0
181.404597629,56.4907846414,2.0
180.869265753,56.4992705861,2.0
181.493315274,56.4947957012,2.0
145.510882325,30.105030394,2.0
146.285621633,30.1061309522,2.0
146.138214014,30.1134937584,2.0
180.224138152,56.522268602,2.0
145.076683982,30.1043345809,2.0
180.554611719,56.55626368,2.0
145.870519928,30.1463453071,2.0
145.379802013,30.1476227142,2.0
181.558884218,56.5848300356,2.0
181.203143891,56.5986465777,2.0
145.48147022,30.1578215714,2.0
180.386199535,56.6156332075,2.0
145.87415327,30.1711501416,2.0
182.139443152,57.0485974547,2.0
180.941515044,57.0521137109,2.0
145.129379874,30.1908676286,2.0
181.289785926,57.0517782306,2.0
145.927915593,30.1886499362,2.0
181.179859934,57.0440221335,2.0
181.971897947,57.0300089414,2.0
146.078437385,30.1976031406,2.0
145.413029402,30.2018462077,2.0
145.294775477,30.2032362367,2.0
182.448229876,57.0068429296,2.0
180.900055333,57.0088712478,2.0
182.147539354,57.0041455417,2.0
181.226971895,56.9855208776,2.0
145.083739458,30.2299141225,2.0
145.148973779,30.2349437239,2.0
181.229057732,56.9583589722,2.0
145.963620492,30.2430360124,2.0
145.829683937,30.2440756118,2.0
146.237424887,30.2436922602,2.0
146.46748508,30.2483983842,2.0
145.078525742,30.2527617014,2.0
146.441749061,30.2503805865,2.0
146.385542482,30.2634298353,2.0
181.565075114,56.9115958866,2.0
145.979109425,30.2673541551,2.0
146.436375189,30.2444590621,2.0
182.175893812,56.893168546,2.0
146.386187878,30.270192459,2.0
181.193649316,56.8879108701,2.0
145.210713676,30.2817331757,2.0
146.471416288,30.2849440763,2.0
145.410810051,30.2973108403,2.0
146.200329502,30.298672486,2.0
145.294544348,30.3082265486,2.0
180.649320363,56.8233364213,2.0
145.151726205,30.3117921067,2.0
180.14740739,56.8002803417,2.0
181.03379372,56.816285167,2.0
145.250192787,30.3444875466,2.0
180.491794031,56.7520854448,2.0
145.140696375,30.3558508062,2.0
145.242290484,30.344400834,2.0
181.877097705,56.7482848818,2.0
145.87507586,30.374788443,2.0
145.048772063,30.3751584696,2.0
145.139477136,30.3865073829,2.0
180.952565077,56.6905327058,2.0
146.556325824,30.3938127448,2.0
146.199184207,30.3859295961,2.0
181.563549287,56.6760131526,2.0
146.605577591,30.4043351356,2.0
145.500783404,30.4060734209,2.0
145.114216636,30.4058990003,2.0
181.178383233,56.660906843,2.0
146.354625427,30.4091458136,2.0
145.606100717,30.4099688594,2.0
181.826148527,56.6464909527,2.0
181.279672419,56.6389268861,2.0
179.980232476,56.6316352894,2.0
145.153986067,30.4237163394,2.0
181.321846685,56.6282895938,2.0
145.860739288,30.4317691443,2.0
180.310503458,57.5900362207,2.0
182.302810186,56.609570828,2.0
180.51802125,56.6135924354,2.0
145.283150301,30.4612414112,2.0
145.936578095,30.4660710117,2.0
145.698642608,30.4672593481,2.0
182.307315906,57.5220065396,2.0
181.838022367,57.5197748568,2.0
180.272198438,57.497930759,2.0
145.245690586,30.4763311523,2.0
145.691310057,30.4817836749,2.0
180.570137742,57.4655691427,2.0
181.492785668,57.4469005975,2.0
146.635762464,30.4922794483,2.0
146.195110675,30.4984233558,2.0
180.274986101,57.4470185393,2.0
145.80217972,30.5046154689,2.0
146.020769541,30.4963212829,2.0
180.472434534,57.4373411177,2.0
181.20975605,57.4150472442,2.0
180.936921422,57.3759109692,2.0
146.205276359,30.5178044637,2.0
145.266578539,30.5267561839,2.0
145.900308203,30.5287972007,2.0
181.44633682,57.3788708986,2.0
145.377485065,30.5336245228,2.0
145.668234879,30.5366738711,2.0
180.127904589,57.34399111,2.0
182.394614542,57.3709241725,2.0
145.564822099,30.5451638733,2.0
180.421917196,57.3655092447,2.0
182.003791641,57.3608533633,2.0
180.893011324,57.3473937413,2.0
181.696832861,57.3474707769,2.0
145.766569445,30.5511768228,2.0
146.409639701,30.5557823553,2.0
181.83930792,57.3108896008,2.0
180.060553743,57.3003391902,2.0
181.739557443,57.2973295154,2.0
145.43767285,30.5843348821,2.0
146.235770869,31.0978419004,2.0
145.107401453,30.787073355,2.0
181.957711098,57.2143017531,2.0
146.275346381,30.7823196798,2.0
181.751757102,57.1880408981,2.0
146.460648589,30.7788371235,2.0
182.456033638,57.214435091,2.0
146.303360838,30.7776959334,2.0
146.389786665,30.7710666513,2.0
181.014363245,57.2623368173,2.0
146.350092954,30.7706715541,2.0
145.387154744,30.7673466552,2.0
145.111015833,30.7665862373,2.0
180.711088449,57.2212085025,2.0
180.8841427,57.2269306431,2.0
181.319365503,57.2224528862,2.0
180.609234387,57.2096592702,2.0
180.137038203,57.2020859077,2.0
146.281402083,30.7513413593,2.0
145.783779532,30.7545301675,2.0
146.167332477,30.7468224243,2.0
145.426409268,30.7416067803,2.0
181.172028174,57.1605580983,2.0
180.045705262,57.1723617951,2.0
181.673220217,57.1389361313,2.0
146.179483209,30.7288550337,2.0
180.074401622,57.130485626,2.0
146.018969882,30.7154730062,2.0
180.106359679,57.1217502182,2.0
180.149257809,57.1231986522,2.0
146.473296287,30.698176274,2.0
145.150105901,30.6956247948,2.0
145.864579402,30.6980153955,2.0
146.621352736,30.6647362012,2.0
145.570020613,30.6474589614,2.0
145.85802479,30.635891992,2.0
145.912307971,30.6297820737,2.0
145.973326488,30.6274191637,2.0
145.575091262,30.6079765759,2.0
146.444828284,30.6047598411,2.0
146.346920723,30.6819191834,2.0
145.954803602,30.5460669032,2.0
146.024714816,30.5856824021,2.0
146.413073721,30.5806837343,2.0
145.522126044,31.121624163,2.0
145.6629765,31.0817408318,2.0
146.214602575,31.0767298674,2.0
145.631307245,31.0806403635,2.0
146.326596975,31.0588849645,2.0
145.636280149,31.0508935808,2.0
145.055454024,31.0368401336,2.0
146.100292341,31.038857496,2.0
146.142710922,31.0354542672,2.0
145.932705431,31.1317635866,2.0
145.945508356,31.0261758018,2.0
145.163739349,31.021398267,2.0
146.494838636,31.015208491,2.0
145.463640696,31.0101938149,2.0
145.483899752,30.9932401369,2.0
145.157842013,31.1068081333,2.0
145.314141684,30.9694407479,2.0
145.466869715,30.9685798047,2.0
146.351116589,30.9702150817,2.0
145.135156878,30.965533806,2.0
146.150013163,30.9687560325,2.0
146.331483368,30.9611800298,2.0
146.401406156,30.9358751649,2.0
145.189503528,30.9335357488,2.0
145.711503156,30.9302796399,2.0
145.622510036,30.9236013088,2.0
146.5033614,30.9111200913,2.0
146.335197358,30.9106895341,2.0
145.591680143,30.906018363,2.0
146.336712763,30.8952957558,2.0
145.521422385,30.8932685078,2.0
145.296248045,30.8908107844,2.0
145.268464461,30.8752930243,2.0
145.485022079,30.8500515185,2.0
146.454757702,30.8350308588,2.0
146.285083156,30.8358025024,2.0
145.464675369,30.8098571191,2.0
146.144270457,30.8112157831,2.0
145.112567574,30.784637911,2.0
145.965076758,30.8071750129,2.0
145.23598382,30.805042491,2.0
146.501842167,30.8001242123,2.0
